time,nof_ue,dl_brate,ul_brate
1602781600601,7,1148480.000000,88224.000000
1602781600851,7,609472.000000,16192.000000
1602781601101,7,1040096.000000,43968.000000
1602781601351,7,1321568.000000,31136.000000
1602781601601,7,681760.000000,91872.000000
1602781601851,7,534528.000000,9376.000000
1602781602101,7,1027808.000000,30912.000000
1602781602351,7,629184.000000,0.0
1602781602601,7,840032.000000,85216.000000
1602781602851,7,813450.250000,24956.173828
1602781603101,7,514560.000000,30592.000000
1602781603352,7,374265.062500,21847.388672
1602781603601,7,720765.000000,97306.773438
1602781603851,7,648256.000000,35488.000000
1602781604101,7,636960.000000,49248.000000
1602781604351,7,734624.000000,0.0
1602781604601,7,987598.375000,121831.320312
1602781604851,7,1109440.000000,27456.000000
1602781605101,7,933216.000000,58272.000000
1602781605351,7,1085696.000000,2464.000000
1602781605601,7,910400.000000,74144.000000
1602781605851,7,775328.000000,8544.000000
1602781606101,7,1248640.000000,0.0
1602781606351,7,832832.000000,55936.000000
1602781606601,7,737824.000000,78496.000000
1602781606851,7,562528.000000,15520.000000
1602781607101,7,517248.000000,24416.000000
1602781607351,7,1190464.000000,1568.000000
1602781607601,7,1138144.000000,53024.000000
1602781607851,7,1076832.000000,15520.000000
1602781608101,7,832256.000000,44992.000000
1602781608351,7,933408.000000,480
1602781608601,7,714560.000000,138496.000000
1602781608851,7,622880.000000,18112.000000
1602781609101,7,601816.750000,24191.236328
1602781609351,7,608544.000000,0.0
1602781609601,7,358400.000000,0.0
1602781609851,7,426816.000000,82880.000000
1602781610101,7,350560.000000,59392.000000
1602781610351,7,485248.000000,22880.000000
1602781610601,7,778752.000000,41312.000000
1602781610851,7,566784.000000,21984.000000
1602781611101,7,581718.875000,30393.576172
1602781611351,7,335904.000000,3360.000000
1602781611601,7,696416.000000,45440.000000
1602781611851,7,813408.000000,28256.000000
1602781612101,7,753312.000000,29312.000000
1602781612351,7,867936.000000,5344.000000
1602781612601,7,661536.000000,47104.000000
1602781612851,7,313216.000000,20224.000000
1602781613101,7,636864.000000,61568.000000
1602781613351,7,1103776.000000,9376.000000
1602781613601,7,698272.000000,73120.000000
1602781613851,7,776224.000000,18752.000000
1602781614101,7,368800.000000,47840.000000
1602781614351,7,401504.000000,2464.000000
1602781614601,7,376800.000000,94560.000000
1602781614851,7,824512.000000,7200.000000
1602781615101,7,578880.000000,25088.000000
1602781615351,7,306720.000000,11936.000000
1602781615601,7,558661.375000,56701.195312
1602781615851,7,398816.000000,25248.000000
1602781616101,7,374272.000000,47808.000000
1602781616351,7,397920.000000,0.0
1602781616602,7,496736.000000,79936.000000
1602781616851,7,432896.000000,13184.000000
1602781617101,7,1011872.000000,0.0
1602781617351,7,942650.687500,0.0
1602781617601,7,930560.000000,54752.000000
1602781617851,7,1003474.125000,0.0
1602781618101,7,1144192.625000,23582.330078
1602781618351,7,867648.000000,44384.000000
1602781618601,7,945760.000000,57024.000000
1602781618851,7,926080.000000,26432.000000
1602781619101,7,985568.000000,25184.000000
1602781619351,7,891072.000000,7104.000000
1602781619601,7,643904.000000,161632.000000
1602781619851,7,714752.000000,37888.000000
1602781620101,7,869344.000000,11232.000000
1602781620351,7,523584.000000,72000.000000
1602781620601,7,497440.000000,87136.000000
1602781620851,7,817504.000000,15904.000000
1602781621101,7,1106080.000000,8128.000000
1602781621351,7,880288.000000,3744.000000
1602781621601,7,899072.000000,65184.000000
1602781621851,7,825088.000000,0.0
1602781622101,7,555505.937500,57019.917969
1602781622351,7,409664.000000,6496.000000
1602781622601,7,297632.000000,71840.000000
1602781622851,7,557108.437500,14714.859375
1602781623101,7,895840.687500,4015.936279
1602781623351,7,1038816.000000,19648.000000
1602781623601,7,1116768.000000,89312.000000
1602781623851,7,1131456.000000,22144.000000
1602781624101,7,1044112.437500,5076.305176
1602781624351,7,1150080.000000,4032.000000
1602781624601,7,1203104.000000,51712.000000
1602781624851,7,1083136.000000,9888.000000
1602781625101,7,1038048.000000,4512.000000
1602781625351,7,1199456.000000,19072.000000
1602781625601,7,1194432.000000,102912.000000
1602781625851,7,1054976.000000,58208.000000
1602781626101,7,539008.000000,56416.000000
1602781626351,7,726560.000000,17056.000000
1602781626601,7,780128.000000,57248.000000
1602781626851,7,614080.000000,35680.000000
1602781627101,7,522368.000000,31808.000000
1602781627351,7,550272.000000,0.0
1602781627601,7,684864.000000,172032.000000
1602781627851,7,483776.000000,50400.000000
1602781628101,7,483424.000000,28800.000000
1602781628351,7,687936.000000,11584.000000
1602781628601,7,1149632.000000,77792.000000
1602781628851,7,1100207.375000,22310.755859
1602781629101,7,1107936.000000,57696.000000
1602781629351,7,976384.000000,61024.000000
1602781629601,7,996384.000000,90592.000000
1602781629851,7,694080.000000,23552.000000
1602781630101,7,1049344.000000,55520.000000
1602781630351,7,887520.000000,14688.000000
1602781630601,7,744224.000000,54272.000000
1602781630851,7,605365.500000,17445.783203
1602781631101,7,604288.000000,72256.000000
1602781631351,7,857024.000000,0.0
1602781631601,7,645280.000000,94112.000000
1602781631851,7,899584.000000,22880.000000
1602781632101,7,1156480.000000,22272.000000
1602781632351,7,1163616.000000,0.0
1602781632601,7,1179264.000000,73568.000000
1602781632851,7,1060768.000000,28992.000000
1602781633101,7,1151072.000000,3136.000000
1602781633351,7,917408.000000,11200.000000
1602781633601,7,1072128.000000,66656.000000
1602781633851,7,971488.000000,22656.000000
1602781634101,7,703392.000000,58624.000000
1602781634351,7,549440.000000,6272.000000
1602781634601,7,865184.000000,75136.000000
1602781634851,7,849568.000000,0.0
1602781635101,7,648256.000000,50688.000000
1602781635351,7,984382.437500,0.0
1602781635601,7,661024.000000,138432.000000
1602781635851,7,856064.000000,13920.000000
1602781636101,7,785984.000000,33600.000000
1602781636351,7,690144.000000,5536.000000
1602781636601,7,458720.000000,59712.000000
1602781636851,7,548192.000000,8736.000000
1602781637101,7,371791.156250,43405.621094
1602781637351,7,396384.000000,0.0
1602781637601,7,632768.000000,73280.000000
1602781637851,7,802528.000000,36832.000000
1602781638101,7,754848.000000,47552.000000
1602781638351,7,634400.000000,13504.000000
1602781638601,7,550656.000000,60640.000000
1602781638851,7,612608.000000,9056.000000
1602781639101,7,593952.000000,59936.000000
1602781639351,7,777152.000000,2464.000000
1602781639601,7,686240.000000,44896.000000
1602781639851,7,693184.000000,21056.000000
1602781640101,7,679712.000000,36640.000000
1602781640351,7,779840.000000,31584.000000
1602781640601,7,533024.000000,74848.000000
1602781640851,7,507136.000000,25536.000000
1602781641101,7,622720.000000,36992.000000
1602781641351,7,455904.000000,0.0
1602781641601,7,495616.000000,66336.000000
1602781641851,7,790480.937500,9338.645508
1602781642101,7,848554.187500,16736.000000
1602781642351,7,567392.000000,23040.000000
1602781642601,7,422976.000000,67808.000000
1602781642852,7,501152.000000,24352.000000
1602781643101,7,377696.000000,22944.000000
1602781643351,7,495584.000000,19072.000000
1602781643601,7,607132.562500,113445.789062
1602781643851,7,736448.000000,7200.000000
1602781644101,7,744800.000000,0.0
1602781644351,7,826368.000000,0.0
1602781644601,7,746752.000000,54784.000000
1602781644851,7,758752.000000,25248.000000
1602781645101,7,674176.000000,46656.000000
1602781645351,7,738720.000000,16576.000000
1602781645601,7,759232.000000,64064.000000
1602781645851,7,763648.000000,11936.000000
1602781646101,7,757984.000000,10944.000000
1602781646351,7,771072.000000,27712.000000
1602781646601,7,872768.000000,81248.000000
1602781646851,7,787488.000000,28512.000000
1602781647101,7,764992.000000,4032.000000
1602781647351,7,517024.000000,118976.000000
1602781647601,7,851872.000000,228864.000000
1602781647851,7,924256.000000,9376.000000
1602781648101,7,1062816.000000,7200.000000
1602781648351,7,1037258.937500,0.0
1602781648601,7,1063488.000000,97600.000000
1602781648851,7,927872.000000,0.0
1602781649101,7,933280.000000,0.0
1602781649351,7,1074748.875000,4176.707031
1602781649601,7,958872.937500,106517.921875
1602781649851,7,946752.000000,18976.000000
1602781650101,7,957494.000000,12433.734375
1602781650351,7,1000448.000000,28512.000000
1602781650601,7,1080992.000000,81824.000000
1602781650851,7,984192.000000,24864.000000
1602781651101,7,827328.000000,36320.000000
1602781651351,7,974016.000000,21600.000000
1602781651601,7,1012800.000000,131392.000000
1602781651851,7,978944.000000,3904.000000
1602781652101,7,949120.000000,0.0
1602781652351,7,982944.000000,0.0
1602781652601,7,981216.000000,82400.000000
1602781652851,7,954976.000000,2464.000000
1602781653101,7,853376.000000,12384.000000
1602781653351,7,898496.000000,9632.000000
1602781653601,7,862496.000000,96192.000000
1602781653851,7,860544.000000,28224.000000
1602781654101,7,862304.000000,36224.000000
1602781654351,7,981056.000000,11456.000000
1602781654601,7,1199264.000000,222720.000000
1602781654851,7,1087104.000000,3904.000000
1602781655101,7,1092462.125000,0.0
1602781655351,7,1127552.000000,6080.000000
1602781655601,7,1073760.000000,54752.000000
1602781655851,7,1002048.000000,22560.000000
1602781656101,7,1074934.875000,0.0
1602781656351,7,1063103.375000,0.0
1602781656601,7,1068979.875000,80674.695312
1602781656851,7,1162496.000000,0.0
1602781657101,7,1151008.000000,0.0
1602781657351,7,1159232.000000,0.0
1602781657601,7,1170304.000000,78240.000000
1602781657851,7,1143840.000000,11232.000000
1602781658101,7,1151840.000000,0.0
1602781658351,7,1295904.000000,26368.000000
1602781658601,7,1224608.000000,68992.000000
1602781658851,7,1101408.000000,2880.000000
1602781659101,7,1114016.000000,0.0
1602781659351,7,1108032.000000,42880.000000
1602781659601,7,1089312.000000,71264.000000
1602781659851,7,1106560.000000,0.0
1602781660101,7,958304.000000,50112.000000
1602781660351,7,1035232.000000,0.0
1602781660601,7,917984.000000,71552.000000
1602781660851,7,1094912.000000,25312.000000
1602781661101,7,1249536.000000,4032.000000
1602781661351,7,1177248.000000,7200.000000
1602781661601,7,1067123.500000,82071.710938
1602781661851,7,1166304.000000,32576.000000
1602781662101,7,1197920.000000,17056.000000
1602781662351,7,1203936.000000,0.0
1602781662601,7,1074624.000000,76192.000000
1602781662851,7,1158496.000000,0.0
1602781663101,7,1202024.250000,0.0
1602781663351,7,1163776.000000,2880.000000
1602781663601,7,997696.000000,36416.000000
1602781663851,7,1130720.000000,25440.000000
1602781664101,7,1126080.000000,0.0
1602781664351,7,1183040.000000,0.0
1602781664601,10,1119296.000000,63552.000000
1602781664851,11,1136960.000000,3168.000000
1602781665101,9,1174304.000000,4256.000000
1602781665351,7,1107744.000000,11456.000000
1602781665601,7,792640.000000,134048.000000
1602781665851,7,736768.000000,51264.000000
1602781666101,6,737632.000000,51232.000000
1602781666351,6,646336.000000,16320.000000
1602781666601,7,832518.625000,66353.656250
1602781666851,7,993856.000000,44128.000000
1602781667101,7,725024.000000,56288.000000
1602781667351,7,429280.000000,17984.000000
1602781667601,6,487840.000000,68224.000000
1602781667851,6,668736.000000,22752.000000
1602781668101,6,443601.593750,18772.908203
1602781668351,6,893632.000000,14592.000000
1602781668601,6,527392.000000,94816.000000
1602781668851,6,568800.000000,29952.000000
1602781669101,6,489856.000000,12352.000000
1602781669352,6,676800.000000,26912.000000
1602781669601,6,842024.062500,74602.406250
1602781669851,6,1049056.000000,23776.000000
1602781670101,6,1007264.000000,21312.000000
1602781670351,6,886848.000000,6080.000000
1602781670601,6,851520.000000,115776.000000
1602781670851,6,827744.000000,14592.000000
1602781671101,6,883904.000000,21952.000000
1602781671351,6,655328.000000,0.0
1602781671601,6,955872.000000,81088.000000
1602781671851,6,1135232.000000,14592.000000
1602781672101,6,1138016.000000,0.0
1602781672351,6,1095552.000000,19520.000000
1602781672601,6,1086784.000000,104928.000000
1602781672851,6,1059488.000000,22752.000000
1602781673101,6,1129824.000000,0.0
1602781673351,6,1000160.000000,37216.000000
1602781673601,6,935264.000000,109312.000000
1602781673851,6,486080.000000,15648.000000
1602781674101,6,1153952.000000,15680.000000
1602781674351,6,1162176.000000,16768.000000
1602781674601,6,1174272.000000,96992.000000
1602781674851,6,1168637.375000,29067.728516
1602781675101,6,1187671.625000,5493.976074
1602781675351,6,1180771.750000,15936.000000
1602781675601,6,1147744.000000,85152.000000
1602781675851,6,1180064.000000,2464.000000
1602781676101,6,1089381.500000,18024.095703
1602781676351,6,1222272.000000,0.0
1602781676601,6,1121056.000000,48032.000000
1602781676851,6,1192544.000000,29312.000000
1602781677101,6,1149536.000000,12928.000000
1602781677351,6,1203328.000000,8768.000000
1602781677601,6,1244640.000000,83424.000000
1602781677851,6,1208768.000000,11328.000000
1602781678101,6,1190816.000000,0.0
1602781678351,6,1160288.000000,5184.000000
1602781678601,6,1183040.000000,110560.000000
1602781678851,6,1169056.000000,30560.000000
1602781679101,6,1006368.000000,7168.000000
1602781679351,6,1067040.000000,20384.000000
1602781679601,6,1039552.000000,82528.000000
1602781679851,6,964832.000000,9632.000000
1602781680101,6,892416.000000,17696.000000
1602781680351,6,1121216.000000,7200.000000
1602781680601,6,1041120.000000,73152.000000
1602781680851,6,1010848.000000,8512.000000
1602781681101,6,967712.000000,0.0
1602781681351,6,1049051.875000,2454.183350
1602781681601,6,1011904.000000,98688.000000
1602781681851,6,935648.000000,0.0
1602781682101,6,995694.812500,2891.566162
1602781682351,6,1030629.500000,0.0
1602781682601,6,1094714.875000,86232.929688
1602781682851,6,1098964.250000,1306.772949
1602781683101,6,1160674.750000,0.0
1602781683351,6,1167264.000000,0.0
1602781683601,6,1238272.000000,59008.000000
1602781683851,7,1115680.000000,35296.000000
1602781684101,6,1096672.000000,9152.000000
1602781684351,6,1150656.000000,20192.000000
1602781684601,6,1191296.000000,83296.000000
1602781684851,6,1047712.000000,9632.000000
1602781685101,6,1191648.000000,1568.000000
1602781685351,6,1132064.000000,17056.000000
1602781685601,6,1142048.000000,82400.000000
1602781685851,6,1052992.000000,4256.000000
1602781686101,6,1160608.000000,6848.000000
1602781686351,6,1109312.000000,7200.000000
1602781686601,6,943520.000000,82816.000000
1602781686851,6,428896.000000,108480.000000
1602781687101,6,806464.000000,42112.000000
1602781687368,5,895520.625000,7970.037598
1602781687601,6,968480.687500,80815.335938
1602781687851,7,347065.625000,33566.031250
1602781688101,7,392640.000000,22592.000000
1602781688352,7,308288.000000,62624.000000
1602781688601,6,545991.937500,38072.289062
1602781688851,6,624956.125000,36015.933594
1602781689101,6,915373.437500,6746.987793
1602781689351,6,993088.000000,4256.000000
1602781689601,6,988608.000000,63264.000000
1602781689851,6,885536.000000,40096.000000
1602781690101,6,865856.000000,20032.000000
1602781690351,6,914656.000000,15712.000000
1602781690601,6,920640.000000,67392.000000
1602781690851,6,1144384.000000,13216.000000
1602781691101,6,883616.000000,13184.000000
1602781691351,6,962304.000000,4256.000000
1602781691601,6,1071104.000000,91840.000000
1602781691851,6,1086016.000000,19840.000000
1602781692101,6,1213120.000000,17056.000000
1602781692351,6,1062688.000000,1568.000000
1602781692601,6,1033312.000000,73472.000000
1602781692851,6,839968.000000,35104.000000
1602781693101,6,1115712.000000,0.0
1602781693351,6,1068160.000000,0.0
1602781693601,6,1091872.000000,146912.000000
1602781693851,6,1153024.000000,4256.000000
1602781694101,6,1151744.000000,0.0
1602781694351,6,1123569.875000,0.0
1602781694601,6,1056576.000000,78784.000000
1602781694851,6,942912.000000,42368.000000
1602781695101,6,1118432.000000,18624.000000
1602781695351,6,1138281.125000,8546.184570
1602781695601,6,1106784.000000,68608.000000
1602781695851,6,1017816.750000,12494.024414
1602781696101,6,1079935.750000,20594.376953
1602781696351,6,964864.000000,0.0
1602781696601,6,1032960.000000,84000.000000
1602781696851,6,1092544.000000,10080.000000
1602781697101,6,1111648.000000,8512.000000
1602781697351,6,995936.000000,24896.000000
1602781697601,6,1009120.000000,66208.000000
1602781697851,6,1048576.000000,59104.000000
1602781698101,6,924864.000000,11808.000000
1602781698351,6,1054176.000000,0.0
1602781698601,6,965760.000000,116224.000000
1602781698851,6,1155392.000000,2720.000000
1602781699101,6,948576.000000,10784.000000
1602781699351,6,879008.000000,95712.000000
1602781699601,6,925888.000000,83232.000000
1602781699851,6,1103136.000000,14048.000000
1602781700101,6,1017984.000000,37600.000000
1602781700351,6,984960.000000,22944.000000
1602781700601,6,1009536.000000,97504.000000
1602781700851,6,959936.000000,30016.000000
1602781701101,6,1097848.625000,16414.343750
1602781701351,6,1037301.125000,19373.494141
1602781701601,6,1008637.500000,58103.585938
1602781701851,6,902304.000000,19872.000000
1602781702101,6,1002152.562500,0.0
1602781702351,6,1007712.000000,12864.000000
1602781702601,6,1054432.000000,89056.000000
1602781702851,6,865888.000000,21472.000000
1602781703101,6,1040160.000000,2592.000000
1602781703351,6,966784.000000,8512.000000
1602781703601,6,1000128.000000,76704.000000
1602781703851,6,1096768.000000,21280.000000
1602781704101,6,850528.000000,10944.000000
1602781704351,6,1074368.000000,5184.000000
1602781704601,6,1178432.000000,92672.000000
1602781704851,6,1228576.000000,1568.000000
1602781705101,6,1175392.000000,0.0
1602781705351,6,1176800.000000,0.0
1602781705601,6,1235648.000000,80288.000000
1602781705851,6,1259488.000000,4256.000000
1602781706101,6,1164256.000000,0.0
1602781706351,6,1235968.000000,0.0
1602781706601,6,1139520.000000,115072.000000
1602781706851,6,1234528.000000,0.0
